Flash Attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M=4Kib,,,,,,,,,,,,,,,,,,,,,Optimal M,,,,,,,,,,,,,,,,,,
2048,2.2048,8.5754,34.09,136.36,546.54,2257.2,10380,45968,185278,0.9805878084,0.9783566947,0.9924024641,0.9942065122,0.9993230139,0.9872408293,0.9806358382,0.9867516533,1.008122929,M=512KiB,,,,,,,,,,,,81,82,83,84,85,86,87,88,89
4096,4.2745,17.489,69.017,277.17,1110.3,4955.9,22223,92517,373589,1.002947713,0.9704957402,0.9850326731,0.9899700545,0.9910834909,0.9919086342,0.9824506142,0.9816682339,1.003394104,M=1024KiB,,,,,,,,,,,,92,93,94,95,96,97,98,99,100
M=16Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0053,0.0224,0.0785,0.2944,1.1931,4.778,19.292,77.142,308.62,1.037735849,0.9330357143,0.9579617834,0.9375,0.9407426033,0.9473419841,0.9501866058,0.950571673,0.9595295185,,,,,,,,,,,,,M=4KiB,M=8KiB,M=4KiB,M=4KiB,M=8KiB,M=4KiB,M=8KiB,M=4KiB,M=4KiB
32,0.01,0.0414,0.13,0.5093,2.0434,8.2905,33.128,133.39,535.62,1,0.9734299517,1.102307692,0.9782053799,0.9978956641,0.9886617212,0.9888312002,1.01731764,0.9830476831,,,,,,,,,,,,,M=8KiB,M=256KiB,M=16KiB,M=8KiB,M=8KiB,M=8KiB,M=8KiB,M=16KiB,M=8KiB
64,0.0196,0.064,0.2475,0.9543,3.8329,15.573,62.348,250.79,1012,1.020408163,1.165625,1.032323232,1.05103217,1.049231652,1.043472677,1.052223006,1.053710276,1.044960474,,,,,,,,,,,,,M=128KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB
128,0.0347,0.1433,0.5024,2.0299,8.2184,32.901,133.23,534.52,2139.4,1.374639769,1.140963015,1.208996815,1.206020001,1.208434732,1.213853682,1.213090145,1.208710619,1.221276994,,,,,,,,,,,,,M=16KiB,M=1024KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB,M=16KiB
256,0.086,0.303,1.2235,4.9469,19.932,80.077,321.04,1288,5204.2,1.422093023,1.538943894,1.536738864,1.54529099,1.544902669,1.549383718,1.551582357,1.545729814,1.556761846,,,,,,,,,,,,,M=128KiB,M=64KiB,M=64KiB,M=64KiB,M=64KiB,M=32KiB,M=64KiB,M=64KiB,M=64KiB
512,0.2366,0.9341,3.7979,15.152,61.232,245.05,982.61,3982.4,16733,2.273457312,2.312814474,2.190131388,2.21436114,2.191501176,2.208324832,2.20769176,2.201737646,2.354210243,,,,,,,,,,,,,M=128KiB,M=64KiB,M=64KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB
1024,1.0753,4.2404,16.552,67.19,268.23,1078.6,4369,20019,93724,0.9814005394,0.9962975191,1.033711938,1.02001786,1.013011222,1.028648248,1.010620279,1.009490984,1.001835176,,,,,,,,,,,,,M=128KiB,M=128KiB,M=64KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB,M=128KiB
2048,2.2444,8.9244,35.876,142.23,558.48,2321.6,10609,46227,191493,0.9823560863,0.9608937296,0.9502174155,0.9587288195,0.9786205415,0.97226051,0.9784145537,0.9943972137,0.9675445055,,,,,,,,,,,,,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB,M=256KiB
4096,4.3241,17.764,71.091,284.66,1165.2,5138.4,23156,94645,388860,0.988529405,0.9845192524,0.9708261243,0.9736879084,0.9528836251,0.9644831076,0.959708067,0.9775159808,0.960728797,,,,,,,,,,,,,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB,M=512KiB
M=32Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0055,0.0242,0.0826,0.3354,1.3168,5.3085,21.239,85.962,346.18,0.9636363636,0.9256198347,0.9503631961,0.877757901,0.9060601458,0.900065932,0.9083290174,0.897396524,0.891501531,,,,,,,,,,,,,,,,,,,,,
32,0.0117,0.0418,0.1482,0.5741,2.2835,9.109,37.466,151.93,585.51,0.8547008547,0.990430622,0.8771929825,0.8871276781,0.8948543902,0.9101438138,0.8842150216,0.8779701178,0.9147922324,,,,,,,,,,,,,,,,,,,,,
64,0.0198,0.0687,0.2817,1.0571,4.2378,16.854,67.863,270.76,1079.5,0.9898989899,0.9315866084,0.8785942492,0.9027528143,0.9044551418,0.923994304,0.9187333304,0.9262446447,0.9374710514,,,,,,,,,,,,,,,,,,,,,
128,0.0419,0.1529,0.5342,2.1514,8.4898,33.928,136.41,541.49,2184.1,0.8281622912,0.9372138653,0.9404717334,0.9435251464,0.9680322269,0.9697300165,0.9766879261,0.9871281095,0.9795339041,,,,,,,,,,,,,,,,,,,,,
256,0.0807,0.2741,1.0681,4.4513,17.447,69.782,280.88,1143.2,4612.9,1.065675341,1.105435972,1.145491995,1.111338261,1.142431364,1.147530882,1.142979208,1.126662001,1.128184006,,,,,,,,,,,,,,,,,,,,,
512,0.1694,0.6664,2.6702,10.517,42.389,168.71,672.07,2794.2,11563,1.396694215,1.401710684,1.422327916,1.440715033,1.444525702,1.452492443,1.462064963,1.425237993,1.4471158,,,,,,,,,,,,,,,,,,,,,
1024,0.4994,2.024,7.8976,31.932,127.95,516.85,2114.8,9457.9,41434,2.153183821,2.095059289,2.09582658,2.104158838,2.096365768,2.0868724,2.065916399,2.116643229,2.262007047,,,,,,,,,,,,,,,,,,,,,
2048,2.1991,9.0843,35.479,141.92,571.85,2384.8,10754,46832,193184,1.020599336,0.9823982035,1.011189718,1.002184329,0.9766197429,0.9734988259,0.986516645,0.9870814827,0.9912466871,,,,,,,,,,,,,,,,,,,,,
4096,4.5074,17.74,70.687,285.39,1167.3,5184.1,22854,93766,373972,0.9593335404,1.001352875,1.005715337,0.9974420968,0.9982009766,0.9911845836,1.013214317,1.0093744,1.039810467,,,,,,,,,,,,,,,,,,,,,
M=64Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0055,0.022,0.0869,0.3264,1.3895,5.5873,22.198,89.045,356.96,1,1.1,0.9505178366,1.027573529,0.9476790212,0.9501011222,0.9567979097,0.9653770565,0.9698005379,,,,,,,,,,,,,,,,,,,,,
32,0.01,0.0413,0.1695,0.6007,2.5131,9.8536,39.103,157.31,626,1.17,1.012106538,0.8743362832,0.9557183286,0.908638733,0.9244337095,0.9581362044,0.9658000127,0.9353194888,,,,,,,,,,,,,,,,,,,,,
64,0.0209,0.067,0.2737,1.1319,4.3058,17.477,71.319,294.23,1158.8,0.9473684211,1.025373134,1.029229083,0.9339164237,0.9842073482,0.9643531499,0.9515416649,0.9202324712,0.9315671384,,,,,,,,,,,,,,,,,,,,,
128,0.0424,0.1368,0.5199,2.1788,8.9569,37.311,141.83,563.04,2275.5,0.9882075472,1.117690058,1.027505289,0.9874242702,0.9478502607,0.9093296883,0.9617852358,0.9617256323,0.9598330037,,,,,,,,,,,,,,,,,,,,,
256,0.0766,0.2686,1.0351,4.1947,17.313,73.652,276.77,1121,4519.3,1.053524804,1.020476545,1.031880978,1.061172432,1.007739849,0.947455602,1.014849875,1.019803747,1.020711172,,,,,,,,,,,,,,,,,,,,,
512,0.1449,0.5324,2.1447,8.8192,35.316,143.55,577.1,2321.1,9697.4,1.169082126,1.251690458,1.245022614,1.192511792,1.200277495,1.175269941,1.1645642,1.203825772,1.192381463,,,,,,,,,,,,,,,,,,,,,
1024,0.3168,1.2755,5.3161,21.23,84.499,340.61,1388.9,5840.8,24443,1.576388889,1.586828695,1.485600346,1.504097975,1.514219103,1.517424621,1.522643819,1.619281605,1.695127439,,,,,,,,,,,,,,,,,,,,,
2048,0.9944,3.9942,16.025,64.056,263.61,1066.2,4636.4,20105,82525,2.211484312,2.274372841,2.213978159,2.215561384,2.169303137,2.236728569,2.319472004,2.329370803,2.340914874,,,,,,,,,,,,,,,,,,,,,
4096,4.3382,17.589,70.902,277.43,1114.9,5056.9,22739,92686,377801,1.039002351,1.008584911,0.9969676455,1.028691922,1.046999731,1.02515375,1.00505739,1.011652245,0.9898650348,,,,,,,,,,,,,,,,,,,,,
M=128Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0055,0.0224,0.09,0.3327,1.3924,6.1483,23.693,94.64,378.5,1,0.9821428571,0.9655555556,0.9810640216,0.9979172652,0.9087552657,0.9369011944,0.9408812342,0.9430911493,,,,,,,,,,,,,,,,,,,,,
32,0.0104,0.041,0.1482,0.6074,2.7094,10.837,43.904,175.12,704.43,0.9615384615,1.007317073,1.143724696,0.9889693777,0.9275485347,0.909255329,0.890647777,0.8982983097,0.8886617549,,,,,,,,,,,,,,,,,,,,,
64,0.0193,0.076,0.2783,1.5189,5.2724,20.458,80.33,322.27,1290.3,1.082901554,0.8815789474,0.9834710744,0.7452103496,0.8166679311,0.8542868316,0.887825221,0.9129922115,0.8980857165,,,,,,,,,,,,,,,,,,,,,
128,0.0407,0.1389,0.5686,2.3523,9.3937,37.499,150.64,611.18,2424.1,1.041769042,0.9848812095,0.9143510376,0.9262424011,0.9535007505,0.994986533,0.9415161976,0.9212343336,0.9386988986,,,,,,,,,,,,,,,,,,,,,
256,0.0683,0.279,1.1305,4.5171,18.193,73.212,294.47,1178,4657.6,1.121522694,0.9627240143,0.9156125608,0.9286267738,0.9516297477,1.006009944,0.9398920094,0.9516129032,0.9703065957,,,,,,,,,,,,,,,,,,,,,
512,0.1344,0.535,2.1934,8.6594,35.305,142.6,576.34,2312.6,9231,1.078125,0.9951401869,0.9777970274,1.018453934,1.000311571,1.006661992,1.001318666,1.003675517,1.050525404,,,,,,,,,,,,,,,,,,,,,
1024,0.2891,1.1403,5.4891,18.527,73.985,296.07,1208.6,4915.1,20387,1.095814597,1.11856529,0.9684829936,1.14589518,1.142109887,1.150437397,1.14918087,1.188337979,1.198950311,,,,,,,,,,,,,,,,,,,,,
2048,0.6275,2.5254,10.234,43.167,167.56,665.37,2954.9,12694,47942,1.584701195,1.581610834,1.565858902,1.483911321,1.573227501,1.6024167,1.56905479,1.583819127,1.721350799,,,,,,,,,,,,,,,,,,,,,
