,,,,,,,,,
d=64\N,16,32,64,128,256,512,1024,2048,4096
Naive Attention,0.0181,0.0647,0.2708,1.1935,7.0365,34.572,203.01,831.28,3382.4
FlashAttention1,0.0155,0.0624,0.251,1.0451,5.972,32.047,184.69,748.98,3122.4
ratio 1,1.167741935,1.036858974,1.078884462,1.141995981,1.178248493,1.078790526,1.099193243,1.109882774,1.08326928
FlashAttention2,0.0196,0.064,0.2475,0.9543,3.8329,15.573,62.348,250.79,1012
ratio 2,0.9234693878,1.0109375,1.094141414,1.25065493,1.835816223,2.219996147,3.256078784,3.31464572,3.34229249
